arm	seed	rep	rc	runs	tps
fused	42	1	0	127	20.17
fused	42	2	0	127	4.09
fused	42	3	0	127	3.83
fused	43	1	0	127	5.16
fused	43	2	0	127	3.97
fused	43	3	0	127	12.50
fused	44	1	0	127	2.94
fused	44	2	0	127	4.50
fused	44	3	0	127	24.09
dequant	42	1	0	127	23.85
dequant	42	2	0	127	23.98
dequant	42	3	0	127	24.39
dequant	43	1	0	127	24.62
dequant	43	2	0	127	24.78
dequant	43	3	0	127	24.25
dequant	44	1	0	127	25.25
dequant	44	2	0	127	24.24
dequant	44	3	0	127	24.34
